internal_project_id,project_name,ministry,agency,sector,state,project_type,approval_date,start_date,original_end_date,revised_end_date,original_cost_cr,revised_cost_cr,project_code,legacy_ocms_code,pmgid
PAI-00054,Health Centre Healthcare Project 00054,Ministry of Power,IRCON,Healthcare,Haryana,Health Centre,2024-10-17,2024-12-19,2027-06-27,2027-07-27,15.45,19.49,PRJ-116224,OCMS-120978,PM-3986460
PAI-00055,School Education Project 00055,Ministry of Education,National Highways Authority,Education,Goa,School,2023-09-08,2024-06-01,2027-09-18,2027-09-18,69.53,87.8,PRJ-638769,OCMS-628008,PM-1183087
PAI-00056,Port Expansion Ports Project 00056,Ministry of Jal Shakti,State PWD,Ports,Uttarakhand,Port Expansion,2025-01-04,2025-06-10,2029-09-09,2029-10-09,43.32,53.12,PRJ-439434,OCMS-767528,PM-2260465
PAI-00057,Expressway Roads Project 00057,"Ministry of Ports, Shipping & Waterways",National Highways Authority,Roads,Rajasthan,Expressway,2024-01-25,2024-09-22,2027-09-20,2027-09-20,23.75,25.07,PRJ-191297,OCMS-175771,PM-4789715
PAI-00058,Station Railways Project 00058,Ministry of Railways,Jal Board,Railways,Odisha,Station,2023-06-21,2023-08-29,2027-09-02,2027-12-01,12.15,15.06,PRJ-742036,OCMS-364288,PM-5533369
PAI-00059,River Management Water Project 00059,Ministry of Power,National Highways Authority,Water,Bihar,River Management,2024-04-02,2024-05-16,2028-03-18,2028-05-17,9.61,10.7,PRJ-264239,OCMS-628063,PM-6099252
PAI-00060,Substation Power Project 00060,Ministry of Railways,RVNL,Power,Himachal Pradesh,Substation,2023-01-21,2023-08-14,2027-11-16,2027-11-16,68.05,75.91,PRJ-203198,OCMS-209313,PM-7283787
PAI-00061,Sewage Urban Development Project 00061,Ministry of Health & Family Welfare,NHPC,Urban Development,Assam,Sewage,2023-12-19,2024-06-03,2026-05-23,2026-07-22,39.36,43.03,PRJ-296829,OCMS-966346,PM-9072167
PAI-00062,Medical College Healthcare Project 00062,Ministry of Health & Family Welfare,CPWD,Healthcare,Gujarat,Medical College,2023-08-31,2023-11-18,2026-01-20,2026-02-19,21.97,26.69,PRJ-239170,OCMS-277737,PM-1960446
PAI-00063,University Education Project 00063,Ministry of Housing & Urban Affairs,NTPC,Education,Karnataka,University,2023-10-23,2024-03-23,2027-03-25,2027-03-25,12.21,12.22,PRJ-647621,OCMS-589294,PM-4834192
PAI-00064,Logistics Hub Ports Project 00064,Ministry of Jal Shakti,Jal Board,Ports,Mizoram,Logistics Hub,2023-08-05,2024-05-24,2026-10-26,2027-01-24,13.57,16.3,PRJ-670591,OCMS-629707,PM-1434453
PAI-00065,Expressway Roads Project 00065,Ministry of Road Transport & Highways,CPWD,Roads,Karnataka,Expressway,2023-04-14,2023-05-27,2024-12-07,2025-06-05,54.74,60.55,PRJ-664444,OCMS-832147,PM-8412081
PAI-00066,Freight Corridor Railways Project 00066,Ministry of Jal Shakti,IRCON,Railways,Maharashtra,Freight Corridor,2023-05-25,2024-01-27,2026-11-10,2026-11-10,12.45,14.82,PRJ-259695,OCMS-351792,PM-4947735
PAI-00067,Irrigation Water Project 00067,Ministry of Jal Shakti,NTPC,Water,Assam,Irrigation,2023-09-22,2024-05-20,2028-11-15,2029-08-12,109.96,114.97,PRJ-549785,OCMS-667237,PM-6982764
PAI-00068,Renewable Energy Power Project 00068,Ministry of Road Transport & Highways,RVNL,Power,Bihar,Renewable Energy,2023-07-26,2024-02-23,2026-11-29,2026-11-29,36.54,41.19,PRJ-777081,OCMS-282671,PM-8603659
PAI-00069,Housing Urban Development Project 00069,Ministry of Housing & Urban Affairs,NHAI,Urban Development,Maharashtra,Housing,2023-10-17,2024-07-08,2026-12-18,2026-12-18,129.01,160.59,PRJ-159217,OCMS-599330,PM-6845604
PAI-00070,Medical College Healthcare Project 00070,Ministry of Road Transport & Highways,State PWD,Healthcare,Kerala,Medical College,2024-10-03,2025-03-25,2027-04-13,2027-04-13,59.21,60.79,PRJ-746544,OCMS-844656,PM-5458877
PAI-00071,Research Facility Education Project 00071,Ministry of Health & Family Welfare,CPWD,Education,Mizoram,Research Facility,2023-01-19,2023-09-27,2027-06-30,2027-06-30,44.21,50.64,PRJ-933422,OCMS-830744,PM-2087698
PAI-00072,Port Expansion Ports Project 00072,Ministry of Housing & Urban Affairs,National Highways Authority,Ports,Kerala,Port Expansion,2024-01-18,2024-08-07,2026-07-30,2026-07-30,8.18,10.16,PRJ-949250,OCMS-443563,PM-4785713
PAI-00073,Bridge Roads Project 00073,Ministry of Housing & Urban Affairs,National Highways Authority,Roads,Delhi,Bridge,2024-12-07,2025-08-09,2030-02-02,2030-04-03,41.43,51.42,PRJ-938504,OCMS-737291,PM-6514195
PAI-00074,Station Railways Project 00074,Ministry of Education,NHAI,Railways,Rajasthan,Station,2023-09-22,2024-04-23,2029-01-30,2029-01-30,80.93,81.48,PRJ-119123,OCMS-537508,PM-1159386
PAI-00075,Water Supply Water Project 00075,Ministry of Education,NHPC,Water,Meghalaya,Water Supply,2025-02-07,2025-10-08,2030-07-19,2030-08-18,34.33,37.52,PRJ-293455,OCMS-197333,PM-8298432
PAI-00076,Renewable Energy Power Project 00076,Ministry of Power,State PWD,Power,Goa,Renewable Energy,2025-06-03,2026-02-28,2029-02-17,2029-02-17,45.8,48.43,PRJ-253662,OCMS-528421,PM-3464049
PAI-00077,Urban Mobility Urban Development Project 00077,"Ministry of Ports, Shipping & Waterways",NHPC,Urban Development,Mizoram,Urban Mobility,2025-02-23,2025-06-20,2028-10-03,2028-10-03,15.28,18.02,PRJ-704065,OCMS-477000,PM-1223309
PAI-00078,Medical College Healthcare Project 00078,"Ministry of Ports, Shipping & Waterways",State PWD,Healthcare,Karnataka,Medical College,2023-09-08,2024-04-02,2028-04-18,2028-04-18,133.24,139.32,PRJ-843846,OCMS-734563,PM-6139327
PAI-00079,School Education Project 00079,Ministry of Power,CPWD,Education,Uttar Pradesh,School,2023-11-30,2024-07-17,2028-03-15,2028-09-11,30.79,33.49,PRJ-413137,OCMS-875252,PM-8052319
PAI-00080,Port Expansion Ports Project 00080,Ministry of Railways,Jal Board,Ports,Uttar Pradesh,Port Expansion,2023-04-11,2023-11-04,2025-05-21,2025-07-20,64.21,71.72,PRJ-389413,OCMS-249570,PM-4505727
PAI-00081,Highway Roads Project 00081,Ministry of Education,IRCON,Roads,West Bengal,Highway,2024-06-12,2024-10-30,2029-07-21,2029-07-21,41.15,51.97,PRJ-455244,OCMS-249261,PM-4909388
PAI-00082,Station Railways Project 00082,Ministry of Health & Family Welfare,Metro Rail Corporation,Railways,Telangana,Station,2024-04-03,2024-09-04,2027-12-28,2028-02-26,3.95,4.2,PRJ-809288,OCMS-208869,PM-7689953
PAI-00083,Irrigation Water Project 00083,Ministry of Education,NTPC,Water,Telangana,Irrigation,2025-01-15,2025-10-19,2027-10-20,2027-12-19,6.12,7.7,PRJ-302780,OCMS-129188,PM-3945547
PAI-00084,Transmission Power Project 00084,Ministry of Jal Shakti,RVNL,Power,Manipur,Transmission,2024-10-10,2024-12-02,2027-02-25,2027-04-26,116.18,129.53,PRJ-337256,OCMS-165369,PM-7140823
PAI-00085,Urban Mobility Urban Development Project 00085,Ministry of Jal Shakti,CPWD,Urban Development,West Bengal,Urban Mobility,2025-03-29,2025-11-29,2027-11-29,2028-02-27,21.41,26.62,PRJ-477521,OCMS-337646,PM-8034354
PAI-00086,Hospital Healthcare Project 00086,Ministry of Road Transport & Highways,NHPC,Healthcare,West Bengal,Hospital,2023-12-13,2024-07-12,2029-05-16,2029-06-15,34.45,40.83,PRJ-680619,OCMS-934134,PM-9123059
PAI-00087,Research Facility Education Project 00087,"Ministry of Ports, Shipping & Waterways",NHAI,Education,Gujarat,Research Facility,2024-01-12,2024-06-01,2026-06-24,2026-06-24,45.72,57.42,PRJ-445224,OCMS-908301,PM-5839050
PAI-00088,Logistics Hub Ports Project 00088,Ministry of Education,NTPC,Ports,Odisha,Logistics Hub,2023-05-26,2024-01-04,2026-09-16,2027-06-13,43.4,44.6,PRJ-343712,OCMS-443820,PM-1232677
PAI-00089,Highway Roads Project 00089,Ministry of Education,State PWD,Roads,Kerala,Highway,2025-05-18,2025-09-16,2027-10-03,2027-10-03,37.33,47.36,PRJ-830239,OCMS-614179,PM-7858852
PAI-00090,Freight Corridor Railways Project 00090,"Ministry of Ports, Shipping & Waterways",National Highways Authority,Railways,Haryana,Freight Corridor,2024-07-12,2025-03-05,2029-10-06,2030-01-04,45.65,47.83,PRJ-995492,OCMS-530838,PM-1600388
PAI-00091,River Management Water Project 00091,"Ministry of Ports, Shipping & Waterways",Jal Board,Water,Tripura,River Management,2023-08-02,2024-04-30,2028-09-01,2028-09-01,26.69,31.8,PRJ-592911,OCMS-968146,PM-2742575
PAI-00092,Generation Power Project 00092,"Ministry of Ports, Shipping & Waterways",NHPC,Power,Haryana,Generation,2024-02-10,2024-08-25,2026-05-02,2026-05-02,60.31,67.24,PRJ-617164,OCMS-808153,PM-1577391
PAI-00093,Housing Urban Development Project 00093,Ministry of Road Transport & Highways,State PWD,Urban Development,Maharashtra,Housing,2024-09-03,2025-05-19,2028-05-07,2028-07-06,69.56,78.33,PRJ-933599,OCMS-387729,PM-5631119
PAI-00094,Health Centre Healthcare Project 00094,Ministry of Railways,NHAI,Healthcare,Tripura,Health Centre,2023-06-20,2023-12-19,2026-01-23,2026-03-24,9.24,10.05,PRJ-944121,OCMS-223722,PM-3955645
PAI-00095,School Education Project 00095,Ministry of Jal Shakti,NTPC,Education,Bihar,School,2023-12-02,2024-06-04,2027-07-13,2028-01-09,51.0,61.07,PRJ-582490,OCMS-205155,PM-6975786
PAI-00096,Terminal Ports Project 00096,Ministry of Housing & Urban Affairs,IRCON,Ports,Maharashtra,Terminal,2023-06-05,2023-12-28,2027-08-01,2027-08-01,26.72,32.71,PRJ-995322,OCMS-363397,PM-9282094
PAI-00097,Highway Roads Project 00097,Ministry of Jal Shakti,IRCON,Roads,Punjab,Highway,2025-06-11,2025-09-04,2027-06-21,2027-06-21,180.79,190.36,PRJ-833670,OCMS-220427,PM-4897668
PAI-00098,Bridge Railways Project 00098,Ministry of Road Transport & Highways,CPWD,Railways,Himachal Pradesh,Bridge,2023-07-06,2023-08-13,2026-02-08,2026-02-08,9.77,12.48,PRJ-633786,OCMS-509292,PM-8425166
PAI-00099,Irrigation Water Project 00099,Ministry of Education,NHPC,Water,Manipur,Irrigation,2024-04-07,2024-10-13,2026-06-02,2026-08-31,14.38,15.52,PRJ-808403,OCMS-153123,PM-9675789
PAI-00100,Renewable Energy Power Project 00100,"Ministry of Ports, Shipping & Waterways",CPWD,Power,Sikkim,Renewable Energy,2023-11-03,2024-02-27,2027-10-24,2027-10-24,23.75,28.43,PRJ-596167,OCMS-399890,PM-1611277
PAI-00101,Urban Mobility Urban Development Project 00101,Ministry of Power,NHAI,Urban Development,Assam,Urban Mobility,2024-05-26,2024-07-23,2026-12-28,2026-12-28,84.91,100.42,PRJ-265112,OCMS-385061,PM-5815546
PAI-00102,Medical College Healthcare Project 00102,Ministry of Railways,NTPC,Healthcare,Karnataka,Medical College,2024-02-22,2024-04-30,2025-11-07,2025-11-07,9.42,10.01,PRJ-500100,OCMS-865452,PM-8452840
PAI-00103,School Education Project 00103,Ministry of Jal Shakti,Jal Board,Education,Delhi,School,2023-03-14,2023-08-29,2025-04-08,2025-04-08,48.61,52.04,PRJ-283041,OCMS-446468,PM-1401178
PAI-00104,Terminal Ports Project 00104,Ministry of Jal Shakti,CPWD,Ports,Chhattisgarh,Terminal,2023-07-05,2024-03-12,2026-12-30,2027-01-29,18.26,22.47,PRJ-736707,OCMS-601470,PM-8885196
PAI-00105,Road Widening Roads Project 00105,Ministry of Education,NHPC,Roads,Uttarakhand,Road Widening,2023-08-23,2023-11-12,2028-05-04,2028-05-04,27.44,31.59,PRJ-109257,OCMS-739638,PM-2240310
PAI-00106,Bridge Railways Project 00106,Ministry of Housing & Urban Affairs,IRCON,Railways,Odisha,Bridge,2024-01-18,2024-10-01,2028-07-02,2028-07-02,25.42,30.03,PRJ-338521,OCMS-221949,PM-5667212
PAI-00107,Water Supply Water Project 00107,Ministry of Health & Family Welfare,State PWD,Water,Goa,Water Supply,2023-11-06,2024-05-07,2028-02-10,2028-02-10,20.52,25.09,PRJ-378832,OCMS-105341,PM-1987054
PAI-00108,Renewable Energy Power Project 00108,Ministry of Education,Jal Board,Power,Rajasthan,Renewable Energy,2023-09-14,2024-04-28,2026-09-06,2026-09-06,18.25,22.91,PRJ-155784,OCMS-543702,PM-4777638
PAI-00109,Urban Mobility Urban Development Project 00109,Ministry of Jal Shakti,NTPC,Urban Development,Himachal Pradesh,Urban Mobility,2025-04-03,2025-09-14,2028-02-02,2028-02-02,20.0,22.12,PRJ-940101,OCMS-170341,PM-4792645
PAI-00110,Health Centre Healthcare Project 00110,Ministry of Power,RVNL,Healthcare,Telangana,Health Centre,2024-11-08,2025-05-10,2027-04-22,2027-07-21,29.8,31.69,PRJ-598230,OCMS-526938,PM-8788333
PAI-00111,Research Facility Education Project 00111,Ministry of Road Transport & Highways,NHPC,Education,Delhi,Research Facility,2023-10-23,2024-04-18,2026-01-27,2026-01-27,16.05,19.89,PRJ-392849,OCMS-593097,PM-8458927
PAI-00112,Port Expansion Ports Project 00112,Ministry of Power,CPWD,Ports,Maharashtra,Port Expansion,2023-08-18,2024-05-30,2026-01-04,2026-07-03,111.48,115.18,PRJ-553336,OCMS-278257,PM-9381613
PAI-00113,Expressway Roads Project 00113,Ministry of Railways,IRCON,Roads,Tripura,Expressway,2024-01-11,2024-10-13,2027-06-21,2027-06-21,54.14,60.35,PRJ-876268,OCMS-310311,PM-1432459
PAI-00114,Rail Corridor Railways Project 00114,Ministry of Railways,CPWD,Railways,Jharkhand,Rail Corridor,2024-06-03,2024-07-16,2029-01-12,2029-04-12,68.51,71.22,PRJ-937648,OCMS-894670,PM-1727341
PAI-00115,Irrigation Water Project 00115,Ministry of Railways,NTPC,Water,Tamil Nadu,Irrigation,2024-08-18,2025-02-25,2028-06-16,2028-06-16,58.39,74.06,PRJ-134229,OCMS-972047,PM-1067753
PAI-00116,Generation Power Project 00116,Ministry of Health & Family Welfare,NHPC,Power,Rajasthan,Generation,2024-05-01,2024-09-07,2028-07-22,2028-07-22,23.21,26.51,PRJ-362133,OCMS-823751,PM-1002536
PAI-00117,Urban Mobility Urban Development Project 00117,Ministry of Road Transport & Highways,CPWD,Urban Development,Sikkim,Urban Mobility,2025-01-29,2025-03-17,2028-12-01,2028-12-31,32.56,36.88,PRJ-831556,OCMS-867833,PM-4715219
PAI-00118,Medical College Healthcare Project 00118,"Ministry of Ports, Shipping & Waterways",NHPC,Healthcare,Goa,Medical College,2024-07-06,2024-08-06,2026-07-06,2026-07-06,45.04,48.74,PRJ-105482,OCMS-870897,PM-1547761
PAI-00119,School Education Project 00119,Ministry of Housing & Urban Affairs,NHPC,Education,Nagaland,School,2023-11-16,2024-07-07,2028-12-27,2028-12-27,23.4,26.85,PRJ-422661,OCMS-995969,PM-9666379
PAI-00120,Harbour Ports Project 00120,Ministry of Health & Family Welfare,CPWD,Ports,Rajasthan,Harbour,2023-08-20,2023-09-21,2028-02-04,2028-02-04,25.32,25.5,PRJ-790748,OCMS-829041,PM-3259275
PAI-00121,Bridge Roads Project 00121,Ministry of Power,CPWD,Roads,Andhra Pradesh,Bridge,2024-04-18,2024-09-23,2028-05-15,2028-05-15,45.0,53.8,PRJ-455059,OCMS-207098,PM-4750413
